Column,OBJECTI,ParclID,ClassCd,LivUnts,Address,Owner,TotAppr,LndAppr,ImprApp,TtAssss,LndAsss,ImprAss,LndAcrs,OWNERNM,imprvdR,mncpll_,vacant,undr_tl,fnl_scr,ecn_scr,bus_scr,env_scr,grcry_s,job_scr,prks_sc,trn_scr,trnsp_s,vacant2,undr_tl2,fnl_scr2
3,211727,14 013700050523,R3,1,1410 LORENZO DR SW,ANDP HOMES LLC,57000,16400,40600,22800,6560,16240,0.2824,ANDP RESTORATION LLC,0.287719298,1,NA,1,6.738044843,0.536671846,1,0.543478261,1,0.857894737,1,1,0.8,FALSE,TRUE,6
555,23903,14 011500050727,E1,0,261 WASHINGTON HEIGHTS LN 2,ATLANTA BELTLINE INC,22200,22200,0,0,8880,0,0.1758,ATLANTA BELTLINE INC,1,1,1,NA,6.15370613,0.503134047,1,0.434782609,1,0.915789474,1,0.5,0.8,TRUE,FALSE,6
556,23963,14 011500050735,E1,0,255 WASHINGTON HEIGHTS LN 3,ATLANTA BELTLINE INC,22200,22200,0,0,8880,0,0.1744,ATLANTA BELTLINE INC,1,1,1,NA,6.15370613,0.503134047,1,0.434782609,1,0.915789474,1,0.5,0.8,TRUE,FALSE,6
557,23874,14 011500050750,E1,0,245 WASHINGTON HEIGHTS LN 5,ATLANTA BELTLINE INC,22200,22200,0,0,8880,0,0.1728,ATLANTA BELTLINE INC,1,1,1,NA,6.15370613,0.503134047,1,0.434782609,1,0.915789474,1,0.5,0.8,TRUE,FALSE,6
558,23925,14 011500050768,E1,0,241 WASHINGTON HEIGHTS LN 6,ATLANTA BELTLINE INC,22200,22200,0,0,8880,0,0.1728,ATLANTA BELTLINE INC,1,1,1,NA,6.15370613,0.503134047,1,0.434782609,1,0.915789474,1,0.5,0.8,TRUE,FALSE,6
559,23866,14 011500050743,E1,0,251 WASHINGTON HEIGHTS LN 4,ATLANTA BELTLINE INC,22100,22100,0,0,8840,0,0.1726,ATLANTA BELTLINE INC,1,1,1,NA,6.15370613,0.503134047,1,0.434782609,1,0.915789474,1,0.5,0.8,TRUE,FALSE,6
560,23960,14 011500050776,E1,0,235 WASHINGTON HEIGHTS LN 7,ATLANTA BELTLINE INC,22100,22100,0,0,8840,0,0.1725,ATLANTA BELTLINE INC,1,1,1,NA,6.15370613,0.503134047,1,0.434782609,1,0.915789474,1,0.5,0.8,TRUE,FALSE,6
1145,23934,14 011500050719,E1,0,265 WASHINGTON HEIGHTS LN 1,ATLANTA BELTLINE INC,22100,22100,0,0,8840,0,0.1724,ATLANTA BELTLINE INC,1,1,1,NA,5.90370613,0.503134047,1,0.434782609,1,0.915789474,1,0.25,0.8,TRUE,FALSE,5
1618,221332,14 014000050130,E1,0,0 GREENWICH ST SW,ATLANTA BELTLINE INC,5700,5700,0,0,2280,0,0.7126,ATLANTA BELTLINE INC,1,1,1,NA,5.576582328,0.534019399,1,0.347826087,1,0.894736842,1,0,0.8,TRUE,FALSE,5
1635,221401,14 014000050635,E1,0,1427 LUCILE AVE SW,ATLANTA BELTLINE INC,91500,15300,76200,0,6120,30480,0.4571,ATLANTA BELTLINE INC,0.167213115,1,NA,1,5.555069586,0.529577595,1,0.34057971,1,0.898245614,1,0,0.786666667,FALSE,TRUE,5
1742,83335,14 001800020124,E1,0,0 NORTH ANGIER AVE NE,ATLANTA BELTLINE INC,193000,193000,0,0,77200,0,0.156,ATLANTA BELTLINE INC,1,1,1,NA,5.493438783,0.598907891,1,0.293478261,1,0.921052632,1,0,0.68,TRUE,FALSE,5
2443,258871,14 001800060385,E1,0,0 N ANGIER AVE NE,ATLANTA BELTLINE INC,5900,5900,0,0,2360,0,0.0932,ATLANTA BELTLINE INC,1,1,1,NA,5.433903851,0.545665864,1,0.260869565,1,0.947368421,1,0,0.68,TRUE,FALSE,5
2889,93252,14 010600110126,E1,NA,1150 ALLENE AVE SW,ATLANTA BELTLINE INC,868000,665000,203000,0,266000,81200,2.66,ATLANTA BELTLINE INC,0.766129032,1,NA,1,5.226490672,0.528214547,0.666666667,0.289855072,1,0.901754386,1,0,0.84,FALSE,TRUE,5
4675,270676,14 002300040349,E1,0,0 WALKER AVE SE,ATLANTA BELTLINE INC,159400,159400,0,0,63760,0,0.17,ATLANTA BELTLINE INC,1,1,1,NA,3.506361877,0.552174234,0,0.282608696,0,0.831578947,1,0,0.84,TRUE,FALSE,3
1134,249091,17 011100020354,E6,0,8 PEACHTREE BATTLE AVE NW,ATLANTA BOARD OF EDUCATION,418600,321600,97000,0,128640,38800,0.35,CITY OF ATLANTA BOARD OF EDUCATION,0.768275203,1,NA,1,5.928553518,0.940613014,1,0.184782609,1,0.963157895,1,0,0.84,FALSE,TRUE,5
1135,299743,17 011100020545,E6,0,0 PEACHTREE BATTLE AVE NW,ATLANTA BOARD OF EDUCATION,263800,263800,0,0,105520,0,0.18,ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.928553518,0.940613014,1,0.184782609,1,0.963157895,1,0,0.84,TRUE,FALSE,5
1136,51862,14 004600110822,E1,0,0 IRWIN ST NE,ATLANTA BOARD OF EDUCATION,298900,298900,0,0,119560,0,0.61,ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.923782716,0.525704913,1,0.239130435,1,0.978947368,1,0.5,0.68,TRUE,FALSE,5
1138,322832,17 005300100370,E1,0,0 CLEMONT DR NE,ATLANTA BOARD OF EDUCATION,270700,270700,0,0,108280,0,0.2066,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.911705998,0.787037805,1,0.347826087,1,0.936842105,1,0,0.84,TRUE,FALSE,5
1139,94733,17 005300100339,E1,0,0 CLEMONT DR NE,ATLANTA BOARD OF EDUCATION,265100,265100,0,0,106040,0,0.1894,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.911705998,0.787037805,1,0.347826087,1,0.936842105,1,0,0.84,TRUE,FALSE,5
1140,322884,17 005300100354,E1,0,0 CLEMONT DR NE,ATLANTA BOARD OF EDUCATION,265100,265100,0,0,106040,0,0.1894,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.911705998,0.787037805,1,0.347826087,1,0.936842105,1,0,0.84,TRUE,FALSE,5
1141,322918,17 005300100321,E1,0,0 CLEMONT DR NE,ATLANTA BOARD OF EDUCATION,265100,265100,0,0,106040,0,0.1894,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.911705998,0.787037805,1,0.347826087,1,0.936842105,1,0,0.84,TRUE,FALSE,5
1142,327650,17 005300100347,E1,0,0 CLEMONT DR NE,ATLANTA BOARD OF EDUCATION,265100,265100,0,0,106040,0,0.1894,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.911705998,0.787037805,1,0.347826087,1,0.936842105,1,0,0.84,TRUE,FALSE,5
1143,322920,17 005300100248,E6,0,0 CLEMONT DR NE,ATLANTA BOARD OF EDUCATION,259400,259400,0,0,103760,0,0.1722,ATLANTA BOARD OF EDUCATION THE,1,1,1,NA,5.911705998,0.787037805,1,0.347826087,1,0.936842105,1,0,0.84,TRUE,FALSE,5
1144,337264,17 005300100362,E1,0,0 CLEMONT DR NE,ATLANTA BOARD OF EDUCATION,259400,259400,0,0,103760,0,0.1722,CITY OF ATLANTA BOARD OF EDUCATION,1,1,1,NA,5.911705998,0.787037805,1,0.347826087,1,0.936842105,1,0,0.84,TRUE,FALSE,5
